Hãng,Dòng xe,Năm sản xuất,Tình trạng,Số km đã đi,Xuất xứ,Kiểu dáng,Hộp số,Nhiên liệu,Dung tích,Số chỗ,Giá (triệu)
toyota,vios,2022,Xe đã dùng,12000.0,Trong nước,Sedan,Số tự động,Xăng,1.5,5.0,515
vinfast,luxsa,2021,Xe đã dùng,23000.0,Trong nước,SUV /Crossover,Số tự động,Xăng,2.0,7.0,850
mercedes benz,sclass,2021,Xe đã dùng,11000.0,Nhập khẩu,Sedan,Số tự động,Xăng,3.0,5.0,4199
mercedes benz,glc,2022,Xe đã dùng,6000.0,Trong nước,SUV /Crossover,Số tự động,Xăng,2.0,5.0,2050
chevrolet,spark,2011,Xe đã dùng,100000.0,Nhập khẩu,Van/Minivan,Số tự động,Xăng,1.0,2.0,115
mercedes benz,cclass,2022,Xe đã dùng,12000.0,Nhập khẩu,Sedan,Số tự động,Xăng,2.0,5.0,1799
ford,ranger,2019,Xe đã dùng,60000.0,Nhập khẩu,Bán tải / Pickup,Số tự động,Dầu,2.2,5.0,535
volkswagen,touareg,2022,Xe đã dùng,5000.0,Nhập khẩu,SUV /Crossover,Số tự động,Xăng,2.0,5.0,2999
volkswagen,teramont,2023,Xe mới,0.0,Nhập khẩu,SUV /Crossover,Số tự động,Xăng,2.0,7.0,2099
hyundai,accent,2018,Xe đã dùng,8.0,Trong nước,Sedan,Số tay,Xăng,1.4,5.0,350
kia,k5,2022,Xe đã dùng,0.0,Trong nước,Sedan,Số tự động,Xăng,2.0,5.0,720
mercedes benz,eclass,2022,Xe đã dùng,17.0,Trong nước,Sedan,Số tự động,Xăng,2.0,5.0,2250
nissan,terra,2019,Xe đã dùng,0.0,Nhập khẩu,SUV /Crossover,Số tự động,Xăng,2.5,7.0,690
toyota,fortuner,2010,Xe đã dùng,120000.0,Trong nước,SUV /Crossover,Số tay,Dầu,2.5,7.0,430
landrover,rangerover,2014,Xe đã dùng,59668.0,Nhập khẩu,SUV /Crossover,Số tự động,Xăng,3.0,5.0,1990
